ORDER_REF_NUMBER,TRACKING_NUMBER,WEIGHT (Kg),ORDER_PICKUP_DATE,ORIGIN_CITY,DELIVERY_CITY,STATUS,COD_AMOUNT,UPFRONT_AMOUNT,RESERVE_AMOUNT,D/R Date,SHIPPING_CHARGES,UPFRONT_CHARGES,GST,WH_INCOME_TAX (2%),WH_SALES_TAX (2%),NET_AMOUNT
#2329,28306960000921,0.50,2025-09-01 21:17:44,NEW TOWN KARACHI,Karachi,Return,5998.00,0.00,0.00,2025-10-12 04:42:00,138.00,0.00,20.70,0.00,0.00,-158.70
#2456,25306960001035,0.50,2025-09-13 01:48:30,NEW TOWN KARACHI,Karachi,Return,3248.00,2273.60,-2273.60,2025-10-10 02:19:00,138.00,0.00,20.70,0.00,0.00,-158.70
#2486,25306960001064,0.40,2025-09-16 23:29:08,NEW TOWN KARACHI,Rawalpindi,Return,2448.00,1713.60,-1713.60,2025-10-10 02:19:00,184.00,0.00,27.60,0.00,0.00,-211.60
#2597,21306960001158,0.50,2025-09-24 23:44:20,NEW TOWN KARACHI,Lahore,Return,3248.00,2273.60,-2273.60,2025-10-12 01:34:00,184.00,0.00,27.60,0.00,0.00,-211.60
#2581,27306960001165,0.50,2025-09-24 23:44:20,NEW TOWN KARACHI,MIRPUR (AJK),Return,3247.00,2272.90,-2272.90,2025-10-14 03:07:00,184.00,0.00,27.60,0.00,0.00,-211.60
#2663,29306960001247,0.90,2025-09-30 23:44:23,NEW TOWN KARACHI,MULTAN,Return,2998.00,2098.60,-2098.60,2025-10-12 01:38:00,218.50,0.00,32.78,0.00,0.00,-251.28
#2712,25306960001278,0.70,2025-10-04 23:05:19,NEW TOWN KARACHI,Islamabad,Delivered,5498.00,0.00,5498.00,2025-10-08 17:57:00,218.50,0.00,32.78,109.96,109.96,5026.80
#2718,21306960001281,0.50,2025-10-04 23:05:19,NEW TOWN KARACHI,SIALKOT,Delivered,2248.00,1573.60,674.40,2025-10-08 16:53:00,184.00,0.00,27.60,44.96,44.96,1946.48
#2729,27306960001284,0.20,2025-10-06 23:46:17,NEW TOWN KARACHI,Lahore,Delivered,5998.00,0.00,5998.00,2025-10-09 14:46:00,184.00,0.00,27.60,119.96,119.96,5546.48
#2721,25306960001287,0.30,2025-10-06 23:46:17,NEW TOWN KARACHI,MULTAN,Delivered,3248.00,2273.60,974.40,2025-10-09 15:58:00,184.00,0.00,27.60,64.96,64.96,2906.48
