ORDER_REF_NUMBER,TRACKING_NUMBER,WEIGHT (Kg),ORDER_PICKUP_DATE,ORIGIN_CITY,DELIVERY_CITY,STATUS,COD_AMOUNT,UPFRONT_AMOUNT,RESERVE_AMOUNT,D/R Date,SHIPPING_CHARGES,UPFRONT_CHARGES,GST,WH_INCOME_TAX (2%),WH_SALES_TAX (2%),NET_AMOUNT
#2731,28306960001305,0.50,2025-10-07 22:50:27,NEW TOWN KARACHI,Faisalabad,Delivered,2998.00,2098.60,899.40,2025-10-10 12:03:00,184.00,0.00,27.60,59.96,59.96,2666.48
#2758,24306960001308,0.50,2025-10-08 23:15:17,NEW TOWN KARACHI,Karachi,Delivered,2998.00,2098.60,899.40,2025-10-11 17:41:00,138.00,0.00,20.70,59.96,59.96,2719.38
#2756,23306960001310,0.30,2025-10-08 23:12:17,NEW TOWN KARACHI,Karachi,Delivered,3083.00,2158.10,924.90,2025-10-10 13:23:00,138.00,0.00,20.70,61.66,61.66,2800.98
#2754,21306960001311,0.60,2025-10-08 23:12:17,NEW TOWN KARACHI,Lahore,Delivered,5498.00,0.00,5498.00,2025-10-14 15:26:00,218.50,0.00,32.78,109.96,109.96,5026.80
#2752,25306960001313,0.30,2025-10-08 23:12:16,NEW TOWN KARACHI,Lahore,Delivered,2747.00,1922.90,824.10,2025-10-13 12:39:00,184.00,0.00,27.60,54.94,54.94,2425.52
#2741,21306960001315,0.60,2025-10-08 23:12:17,NEW TOWN KARACHI,Lahore,Delivered,5498.00,0.00,5498.00,2025-10-13 16:01:00,218.50,0.00,32.78,109.96,109.96,5026.80
2679-R,26306960001316,0.40,2025-10-09 22:27:51,NEW TOWN KARACHI,Lahore,Delivered,250.00,175.00,75.00,2025-10-13 15:25:00,184.00,0.00,27.60,5.00,5.00,28.40
#2764,25306960001322,0.40,2025-10-11 23:33:30,NEW TOWN KARACHI,Karachi,Delivered,2248.00,1573.60,674.40,2025-10-13 12:37:00,138.00,0.00,20.70,44.96,44.96,1999.38
#2762,22306960001323,0.20,2025-10-11 23:33:31,NEW TOWN KARACHI,Karachi,Delivered,1498.00,1048.60,449.40,2025-10-13 16:41:00,138.00,0.00,20.70,29.96,29.96,1279.38
#2772,24306960001338,0.90,2025-10-13 21:04:37,NEW TOWN KARACHI,Karachi,Delivered,0.00,0.00,0.00,2025-10-14 18:17:00,172.50,0.00,25.88,0.00,0.00,-198.38
#2780,27306960001340,0.30,2025-10-13 21:04:37,NEW TOWN KARACHI,Karachi,Delivered,2998.00,2098.60,899.40,2025-10-14 16:11:00,138.00,0.00,20.70,59.96,59.96,2719.38
#2769,20306960001341,0.30,2025-10-13 21:04:37,NEW TOWN KARACHI,Karachi,Delivered,1498.00,1048.60,449.40,2025-10-14 15:51:00,138.00,0.00,20.70,29.96,29.96,1279.38
